50,76,38
44,63,45
59,23,19
68,69,11
59,23,19
17,35,25
70,94,88
98,57,34
51,20,29
40,49,86
34,44,93
94,33,94
45,80,15
93,65,60
46,36,40
60,62,46
48,70,58
98,78,73
98,92,61
98,57,34
92,12,98
39,16,80
96,99,19
10,74,72
56,97,76
20,31,16
30,23,10
97,26,60
60,63,43
67,76,41
38,87,21
97,26,60
28,79,47
20,22,90
14,30,25
38,77,79
70,94,88
14,30,25
76,85,15
34,88,92
71,82,10
71,29,54
12,71,50
10,41,31
87,34,83
28,79,47
55,66,59
14,30,25
55,97,10
60,62,46
82,92,24
45,80,15
76,33,92
17,30,79
58,25,27
15,30,95
71,30,49
72,14,74
53,77,41
17,30,79
99,99,68
23,79,67
16,22,75
51,50,51
45,34,24
70,78,51
77,11,31
15,30,95
67,82,18
70,15,13
58,97,24
50,38,54
47,39,46
42,66,52
94,82,98
73,94,14
34,22,13
39,65,21
48,70,58
38,77,79
30,41,11
86,20,87
55,97,10
26,44,67
31,32,45
32,90,71
18,70,18
51,20,29
41,12,16
78,85,29
35,34,45
39,16,80
45,34,24
49,67,78
86,43,75
32,90,71
98,13,92
16,22,75
55,57,95
77,11,31
94,82,98
41,12,16
84,89,96
22,61,50
18,70,18
90,84,37
63,35,22
21,10,11
13,36,37
71,82,10
24,96,37
21,11,16
53,80,31
82,27,17
21,11,16
96,81,14
16,64,82
70,78,51
34,44,93
88,95,77
33,83,85
86,88,77
25,87,43
39,26,15
32,90,71
59,23,19
46,36,40
20,22,90
49,38,84
74,33,59
77,11,31
39,26,15
30,93,64
60,63,43
25,62,73
26,44,67
12,28,60
20,22,90
77,11,31
54,39,33
66,28,23
59,74,90
53,77,41
90,84,37
98,78,73
50,38,54
73,22,65
52,12,61
80,84,35
60,62,46
50,38,54
70,94,88
77,35,61
60,35,33
99,99,68
55,76,98
15,30,95
70,44,74
60,63,43
70,94,88
55,66,59
99,99,68
44,74,16
46,36,40
22,61,50
98,57,34
33,56,31
77,35,61
98,44,72
98,78,73
55,66,45
79,97,97
28,79,47
86,43,75
92,12,98
96,13,83
67,61,23
21,11,16
90,84,37
99,34,47
76,85,15
20,13,29
56,97,76
90,84,81
95,74,77
69,28,12
46,17,84
77,11,31
66,91,79
70,55,55
16,22,75
69,28,12
32,90,71
92,70,76
98,13,92
15,20,80
33,83,48
34,44,93
53,66,57
14,30,25
79,83,31
96,13,83
70,15,13
96,13,83
55,66,45
72,87,85
22,96,60
46,36,40
92,70,76
30,41,11
28,79,47
15,20,80
60,35,33
57,95,13
46,36,40
98,78,73
52,62,97
66,28,23
46,36,40
70,55,55
63,35,22
21,10,11
59,74,90
16,22,75
92,70,76
51,50,51
86,88,77
92,12,98
69,34,90
36,39,44
10,72,33
46,17,84
35,86,91
35,34,45
60,62,46
37,38,43
17,23,61
50,38,54
45,70,98
44,37,54
68,63,64
92,12,98
46,36,40
56,97,76
91,91,81
31,36,89
74,69,29
96,13,83
99,99,78
77,11,31
56,97,76
46,17,84
50,76,38
70,78,51
95,74,77
70,55,55
52,62,97
60,63,43
62,67,84
86,20,87
20,31,16
44,74,16
17,53,95
60,35,33
28,79,47
96,81,14
70,15,13
85,28,62
98,13,92
33,83,48
46,36,40
60,63,43
95,29,23
45,81,87
13,36,37
21,11,16
56,93,78
53,66,57
32,41,37
87,15,10
13,36,37
74,69,29
70,78,51
70,94,88
70,55,55
79,83,31
74,33,59
88,95,77
68,63,64
77,16,45
98,78,73
46,70,81
88,24,37
97,26,60
77,11,31
43,28,74
64,59,21
28,79,47
96,13,83
32,13,15
88,90,45
26,15,62
49,38,84
26,44,67
58,25,27
38,55,70
67,76,41
74,33,59
70,44,74
46,36,40
52,62,97
50,38,54
22,61,50
89,75,82
55,76,98
92,24,56
97,26,60
45,80,15
90,17,51
75,59,44
46,36,40
23,79,67
77,29,92
46,49,76
86,88,77
92,12,98
92,17,91
30,23,10
91,91,81
15,20,80
84,49,53
30,23,10
59,23,19
86,88,77
40,57,71
99,45,93
74,33,59
70,55,55
28,79,47
15,20,80
15,20,80
87,15,10
63,35,22
50,76,38
15,30,95
11,42,35
15,20,80
14,30,25
56,93,78
19,85,29
99,45,93
22,96,60
91,45,51
86,88,77
26,44,67
14,30,25
49,38,84
46,51,31
99,45,93
16,22,75
97,26,60
10,72,33
51,50,51
13,36,37
64,59,21
43,28,74
45,81,87
60,63,43
86,88,77
55,57,95
68,69,11
75,59,44
56,93,78
63,35,22
20,13,29
98,57,34
88,95,77
97,35,96
58,25,27
10,72,33
83,40,42
41,67,78
58,97,24
48,70,58
22,61,50
12,18,53
38,55,70
62,59,29
20,22,90
56,97,76
17,30,79
93,30,45
88,95,77
22,61,50
70,55,55
16,89,17
66,19,49
33,83,48
35,34,45
85,56,53
51,20,29
55,57,41
46,36,40
58,25,27
33,83,48
53,80,31
22,61,50
70,55,55
67,82,18
24,65,24
43,28,74
82,18,46
39,16,80
22,61,50
35,34,45
97,26,60
36,89,36
17,30,79
93,87,64
87,15,10
22,52,64
85,56,53
17,59,56
92,24,56
77,16,45
37,38,43
24,65,24
30,39,72
86,20,87
11,42,35
86,88,77
46,36,40
96,99,19
92,70,76
40,95,35
33,56,31
34,88,92
49,38,84
88,95,77
15,30,95
58,25,27
40,53,65
15,20,80
14,30,25
56,97,76
15,30,95
10,72,33
21,10,11
39,16,80
82,27,17
12,28,60
15,20,80
79,83,31
77,11,31
23,79,67
30,93,64
73,85,84
93,13,66
56,97,76
99,34,47
51,20,29
47,40,62
46,36,40
56,97,76
56,97,76
67,61,23
70,55,55
16,82,77
91,41,53
30,93,64
59,70,64
99,99,68
31,32,45
77,16,45
89,75,82
66,28,23
56,97,76
69,28,12
30,41,11
98,51,69
26,44,67
66,28,23
80,63,25
46,36,40
86,88,77
46,36,40
38,87,21
32,41,37
98,92,61
46,36,40
90,96,49
97,26,60
15,30,95
88,21,23
15,30,95
98,78,73
92,17,91
70,78,51
26,44,67
77,16,45
69,34,90
57,92,50
33,83,48
34,88,92
84,49,53
36,59,56
80,84,35
35,86,91
33,83,85
28,79,47
56,96,50
56,97,76
68,69,11
43,28,74
69,34,90
14,30,25
95,74,77
56,97,76
40,49,86
99,99,78
45,80,15
44,51,93
79,71,25
40,49,86
92,70,76
57,27,48
16,89,17
45,80,15
22,96,60
85,28,62
39,16,80
70,15,13
77,16,45
13,28,71
55,93,15
69,34,90
79,83,31
96,13,83
56,97,76
16,89,17
