99,5
33,11
65,56
67,48
39,35
10,62
90,85
28,70
33,61
38,26
65,19
62,61
39,12
78,9
52,17
51,99
28,53
23,18
63,3
83,8
90,39
64,28
88,71
58,9
25,43
61,87
20,65
19,67
92,68
90,0
73,65
96,13
26,30
86,31
13,37
26,90
76,73
7,12
63,92
11,68
26,22
85,66
35,71
11,54
87,13
37,0
29,10
50,47
80,33
77,80
16,18
91,73
54,77
57,95
26,49
25,64
87,52
13,12
95,37
70,70
92,3
90,36
33,10
27,33
96,93
70,63
69,50
16,91
83,98
53,59
14,28
38,14
43,99
95,97
72,50
6,90
63,25
21,97
6,77
80,64
80,98
72,8
77,59
34,42
33,2
15,9
26,23
65,63
48,79
26,1
93,100
89,76
70,71
97,38
29,11
13,46
37,56
91,43
14,47
97,61
